,chi_sim,eng,file,fra,spa
0,"| 24 Hour  Allergy Relief-D  PSEJD0EPHEDRINE SULFAE 240 mghNASAL DECONGESANT LORADNE10mgANTHSIAMINE EIENDED RELEASETBLETS  NDC 36800-538-52     24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORAIADINE 10 mg/ANT_H_STAM_NE  EXTENDED RELEASE ABLETS  Allergy & Sinus Relief:  “Sneezing *Runny Nose 。ltchy, Watery Eyes  sltchy Throat or Nose 。Nasal Congestion 。Sinus Pressure  Cold Relief: sNasal Congestion “Sinus Pressure","| 24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISTAMINE EXTENDED RELEASE TABLETS  NDC 36800-538-52     24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISTAMINE  EXTENDED RELEASE TABLETS  Allergy & Sinus Relief:  eSneezing *Runny Nose eltchy, Watery Eyes  eltchy Throat or Nose eNasal Congestion eSinus Pressure Cold Relief:  eNasal Congestion eSinus Pressure",images/86. image-01.jpg,"| 24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISTAMINE EXTENDED RELEASE TABLETS  NDC 36800-538-52     24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISÏAMINE  EXTENDED RELEASE TABLETS  Allergy & Sinus Relief:  eSneezing eRunny Nose eItchy, Watery Eyes  eltchy Throat or Nose eNasal Congestion eSinus Pressure Cold Relief:  eNasal Congestion eSinus Pressure","| 24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISTAMINE EXTENDED RELEASE TABLETS  NDC 36800-538-52     24 Hour  Allergy Relief-D  PSEUDOEPHEDRINE SULFATE 240 mg/NASAL DECONGESTANT LORATADINE 10 mg/ANTIHISTAM|NE  EXTENDED RELEASE TABLETS  Allergy é Sinus Relief:  *Sneezing *Runny Nose eltchy, Watery Eyes  eltchy Throat or Nose eNasal Congestion eSinus Pressure Cold Relief:  *Nasal Congestion eSinus Pressure"
1,"。GeneXQ  . #1ORGANIC MEDICINE  D  ALLERGCY-D  Sneezing & RunnyNCSE ltchy, Watery Eyes  Nasal Congestion E 根 k 沥 浩 一 L  6 CHEWABLE E 王  U00-996920N        `_-，___  「6enexa  ′ . 奶 ORGAN|c MEDICINE            R  从 LERGY-D  E E 人 T^8LETS E","oGenexo“  #1 ORGANIC MEDICINE  NON-DROWSY / SAFE & EFFECTIVE  ALLERGY-D’  Sneezing & Runny Nose Itchy, Watery Eyes  Nasal Congestion Itchy Nose & Throat*  6 CHEWABLE TABLETS  1-1£00-9£969 JON.        M  ‘enexa  Pom ORGANIC MEDICING            R LD AT VY e  ALLERGY-D  ROV  LT A\ LG Y N  """,images/87. allergy-d.jpg,"°G€ﬂêXﬂ°  #1 ORGANIC MEDICINE  NON-DROWSY / SAFE & EFFECTIVE  ALLERGY-D'  Sneezing & Runny Nose Itchy, Watery Eyes  Nasal Congestion Itchy Nose & Throat*  6 CHEWABLE TABLETS  1-1200-92969 DON        ñ  ‘Genexa  ”. ORGANIC MEDICNE            UD OE T 14N A 21441  ALLERGY-D  [OI OIV  ETE \ L ORN 4  S/","_Genexoº  *1 ORGANIC MEDICINE  [l7 TT  ALLERGY-D""  Sneezing 8 Runny Nose Itchy, Watery Eyes  Nasal Congestion Itchy Nose 2 Throat*  6 CHEWABLE NNN  1-1200-9/969 20N        …  'cenexa  "".. ORGANIC MEDICINE            MNDROWSY / SAFE 8 EFFECTIVE  ALLERGY-D  ACAÍ BERRY FLAVOR  e | ERO  —"
2,WW,Iy .,images/35. honestgreen_images_84783891093.jpg,- JMNIR)/ VIN,Z VEZ
3,YDRAMINE HCI 2 _誓histamine     100 Tablets,YDRAMINE HCI 2! tihistamine        100 Tablets,images/69. 3146251_0000.jpg,YDRAMINE HCI 2: tihistamine        (LR P es,YDRAMINE HCI 2! tihistamine        100 Tablets
4,Allergies (allergic post nasal drip) Middle ear infections (otitis media)  Cooyriahte2015 3MD     Sinus infection (sinusitis) Cold and flu Virus or Bacteria,Allergies (allergic post nasal drip) Middle ear infections (otitis media)  Copvright©2015 3MD     Sinus infection (sinusitis) Cold and flu Virus or Bacteria,images/73. post-nasal-drip-causes-1024x1018.jpg,Allergies (allergic post nasal drip) Middle ear infections (otitis media)  Copvriaht©2015 3MD     Sinus infection (sinusitis) Cold and flu Virus or Bacteria,Allergies (allergic post nasal drip) — Middle ear infections (otitis media)  Copvriahte2015 3MD     Sinus infection (sinusitis) Cold and flu Virus or Bacteria
5,"… | { Naturaly Derved 番 pU门ya Made inUSA 园 3 铑 : : 董 冒 Mother ofAl| Creams 旦 c coel 国 “ 腾 Combats tchy Skin, Cracked Skin, Skin Redness and Sellng 呈 嗣 “ADVANCED 13-IN-1NATURAL FORMULA 亘 I Istant & Lasting ltch Relief 60 / Reduces Redness & Swelling 383 川 | Intensive Moisturizer 】  i 伟 7","| Dpuriys e | Mother of All Creams |  = ==  m Skin, Cracked Skin, Skin Redness and Sweling Jll     I ¥ ADVANCED 13-IN-1 NATURAL FORMULA i I :Qstant& Lasting Itch Relief 450 1 educes Redness & Swelling 183m  Intensive Moisturizer  e",images/81vt8Z5kjOL._SL1500_.jpg,"l Opuriya * Met=Tde 102 | MOc T S  =— SEs  IWËÎSÎ Skin, Cracked Skin, Skin Redness and Sweling J :     è * ADVANCED 13-IN-1 NATURAL FORMULA ä l Ëstant& Lasting Itch Relief 450 H; educes Redness & Swelling 133m  Intensive Moisturizer  P","Qpuriya — — | Motherof All Creams — f  = ===  Wí Skin, Cracked Skin, Skin Redness andSweling B -     ! Y ADVANCED 13-1N-1 NATURAL FORMULA 5 I :ºstant& Lasting ltch Relief 4507 '¡ educes Redness 8. Swelling 133m —  Intensive Moisturizer  U"
6,P  藏 h 医 y 属 l E     永,SATISFACTION GUARANTEED),images/34. 61i8jay1xol.jpg,E (GUARANTEED),SATISFACTION C
7,河 restorbganie     DIETARY SUPPLEMENT 180 VEGETARIAN CAPSULE>,£  restorégan®     DIETARY SUPPLEMENT 180 VEGETARIAN CAPSULE®,images/Enzy-Restore.jpg,$  restoréganie     DIETARY SUPPLEMENT 180 VEGETARIAN CAPSULE*,£  restoregan     DIETARY SUPPLEMENT — 180 VEGETARIAN CAPSULES
8,from Texa5 Tfees Weeds & Gras565  一 一 HoMEoWIMIC 州 l Season l′_I髓= =`,"from Texas Trees, Weeds & Grasses  ~—— HOMEOPATHIC == All Season Relief:",images/96. 002145708.jpg,"from Texas Trees, Weeds & Grasses  — HOMEOPATHIC — AIl Season Relief: —","from Texas Trees, Weeds % Grasses —  — HOMEOPATHIC — All Season Relief: -"
9,沥 沥 国 口 胡 余 江  Your Health 攀  U葛$ed鹰  @ALERNAIVE MEDIQNE 5 REMEDIES  ASTHMA,R ~ro e  Your Health |2  Lue\%dlc ASTHMA,images/58. maxresdefault.jpg,Ss  Your Health WÉ;  Lue\$edlc ASTHMA,N  Your Health M  Lue“ed¡c ASTHMA
10,双 Zyriec  CEJIR1ZINE HC1 10mg,n Zyrtec  (ST T T Y],images/46. zyrtec.jpg,ﬂ Zyrtec  CETIRIZINE HCI 10mg,m Ae  CETIRIZINE HCI TOmg
11,L 沥 [  Y Runny Nose A  Y ltchy Nose,RELIEF OF: P30  LA GH AR VFERT ST  Gl IR LG,images/30. maxresdefault.jpg,"LAN A CZI  v Runny Nose  v Itchy, Watery Eyes  v Itchy Nose or Throat","ANE A ANE  Y Runny Nose  Y Itchy, Watery Eyes  CAA AO"
12,"ssccoN F         E E g厂ed【e门t′     Compare t E in        6 Ora_ So_uti0n fAntihistamine) 24 Hour Non-Drowsy17 Allergy Relief  For Ages 2 & Over Indoor & Outdoor Allergies  Dye Free  Dosing CUP Enclosed  L Grape E 蝴 区 ,  +When taken 85 directad' See Drug Facts Panel",Children’s Claritin® gredxem‘     Compare to T CaL        ne Oral Solution Antihistamine 24 Hour Non-Drowsyf Allergy Relief  For Ages 2 & Over or Allergies  = Dye Free  = Dosing Cup Enclosed  Sugar Free Grape [FECL N,images/91. 001389669.jpg,Children‘s Claritin® gredxent’     Compare to active in        ne Oral Solution Antihistamine 24 Hour Non-Drowsy* Allergy Relief  For Ages 2 & Over or Allergies  = pye Free  = Dosing Cup Enclosed  Sugar d Grape EN N,Children's [ FTA gred¡ent'     Compare to active in        ne Oral Solution Antihistamine 24 Hour Non-Drowsy* Allergy Relief  For Ages?2 8: Over or Allergies  = Dye Free  = Dosing CUP Enclosed  CEA Free | Grape EN N
